route, K, T, F
route_1,1,15,151
route_1,2,15,151
route_1,3,15,152
route_1,4,15,152
route_1,5,15,152
route_1,6,15,152
route_1,7,15,152
route_1,8,15,154
route_1,9,15,154
route_1,10,15,154
route_1,11,15,154
route_1,12,15,154
route_1,13,15,154
route_1,14,15,154
route_1,15,15,154
route_2,1,15,150
route_2,2,15,150
route_2,3,15,152
route_2,4,15,152
route_2,5,15,152
route_2,6,15,152
route_2,7,15,152
route_2,8,15,153
route_2,9,15,153
route_2,10,15,153
route_2,11,15,153
route_2,12,15,153
route_2,13,15,153
route_2,14,15,153
route_2,15,15,153
route_3,1,15,147
route_3,2,15,147
route_3,3,15,147
route_3,4,15,147
route_3,5,15,147
route_3,6,15,147
route_3,7,15,147
route_3,8,15,147
route_3,9,15,147
route_3,10,15,147
route_3,11,15,147
route_3,12,15,147
route_3,13,15,147
route_3,14,15,147
route_3,15,15,151
route_4,1,15,142
route_4,2,15,142
route_4,3,15,144
route_4,4,15,144
route_4,5,15,151
route_4,6,15,151
route_4,7,15,151
route_4,8,15,151
route_4,9,15,151
route_4,10,15,151
route_4,11,15,151
route_4,12,15,151
route_4,13,15,151
route_4,14,15,151
route_4,15,15,151
route_5,1,15,151
route_5,2,15,151
route_5,3,15,151
route_5,4,15,151
route_5,5,15,151
route_5,6,15,151
route_5,7,15,151
route_5,8,15,152
route_5,9,15,152
route_5,10,15,152
route_5,11,15,152
route_5,12,15,152
route_5,13,15,152
route_5,14,15,152
route_5,15,15,152
,,avg.,150.5733333
